Name,Symbol,Category
日本225,NI225,Index
米国30,DJI,Index
米国S500,SPX,Index
米国NQ100,NAS100,Index
米国NQ100ミニ,NAS100,Index
米国R2000,RTY,Index
イギリス100,UK100,Index
ドイツ40,GER40,Index
欧州50,EUSTX50,Index
フランス40,FRA40,Index
香港ハンセン,HSI,Index
上海A50,XIN9,Index
ユーロ50,EUSTX50,Index
インドNIFTY,NIFTY,Index
金スポット,XAUUSD,Commodity
銀スポット,XAGUSD,Commodity
プラチナスポット,XPTUSD,Commodity
パラジウムスポット,XPDUSD,Commodity
WTI原油,USOIL,Commodity
北海原油,UKOIL,Commodity
天然ガス,NATGAS,Commodity
大豆,SOYBNUSD,Commodity
コーン,CORNUSD,Commodity
小麦,WHEATUSD,Commodity
銅先物,HG1!,Commodity
米国VI,VIX,ETF
米国VIブル2倍,UVXY,ETF
米国VIベア1倍,SVXY,ETF
米国30ブル3倍,UDOW,ETF
米国30ベア3倍,SDOW,ETF
米国S500ブル3倍,UPRO,ETF
米国S500ベア3倍,SPXU,ETF
米国NQ100ブル3倍,TQQQ,ETF
米国NQ100ベア3倍,SQQQ,ETF
米国R2000ブル3倍,TNA,ETF
米国R2000ベア3倍,TZA,ETF
米国不動産,IYR,ETF
新興国株,EEM,ETF
金融セクター,XLF,ETF
エネルギーセクター,XLE,ETF
テクノロジーセクター,XLK,ETF
ヘルスケアセクター,XLV,ETF
金鉱株,GDX,ETF
米国債20年超,TLT,ETF
ハイイールド債,HYG,ETF
アップル,NASDAQ:AAPL,Stock
アマゾン・ドット・コム,NASDAQ:AMZN,Stock
アルファベット クラスA,NASDAQ:GOOGL,Stock
アルファベット クラスC,NASDAQ:GOOG,Stock
メタ・プラットフォームズ,NASDAQ:META,Stock
マイクロソフト,NASDAQ:MSFT,Stock
ネットフリックス,NASDAQ:NFLX,Stock
エヌビディア,NASDAQ:NVDA,Stock
テスラ,NASDAQ:TSLA,Stock
アドバンスト・マイクロ・デバイセズ,NASDAQ:AMD,Stock
ブロードコム,NASDAQ:AVGO,Stock
インテル,NASDAQ:INTC,Stock
マイクロン・テクノロジー,NASDAQ:MU,Stock
アーム・ホールディングス,NASDAQ:ARM,Stock
クアルコム,NASDAQ:QCOM,Stock
スーパー・マイクロ・コンピューター,NASDAQ:SMCI,Stock
テキサス・インスツルメンツ,NASDAQ:TXN,Stock
アプライド・マテリアルズ,NASDAQ:AMAT,Stock
